Line,Area,Equipment Type,Equipment
Corolla,Side Member RH,Pneumatic Jig,SWE
Corolla,Side Member RH,Pneumatic Jig,SWA
Corolla,Side Member RH,Pneumatic Jig,SWA-1
Corolla,Side Member RH,Pneumatic Jig,SOA
Corolla,Side Member RH,Pneumatic Jig,MCA
Corolla,Side Member RH,Pneumatic Jig,MCB
Corolla,Side Member RH,Pneumatic Jig,MCC
Corolla,Side Member RH,Sealer Pump,Sealer Pump # 2
Corolla,Side Member RH,Other,Other
Corolla,Side Member LH,Spot Welding System,PSWS 82
Corolla,Side Member LH,Spot Welding System,PSWS 83
Corolla,Side Member LH,Spot Welding System,PSWS 84
Corolla,Side Member LH,Spot Welding System,PSWS 85
Corolla,Side Member LH,Spot Welding System,PSWS 86
Corolla,Side Member LH,Spot Welding System,PSWS 87
Corolla,Side Member LH,Spot Welding System,PSWS 88
Corolla,Side Member LH,Spot Welding System,PSWS 89
Corolla,Side Member LH,Spot Welding System,PSWS 90
Corolla,Side Member LH,Spot Welding System,PSWS 91
Corolla,Side Member LH,Spot Welding System,PSWS 92
Corolla,Side Member LH,Spot Welding System,PSWS 93
Corolla,Side Member LH,Spot Welding System,PSWS 94
Corolla,Side Member LH,Spot Welding System,PSWS 95
Corolla,Side Member LH,Spot Welding System,PSWS 96
Corolla,Side Member LH,Spot Welding System,PSWS 97
Corolla,Side Member LH,Spot Welding System,PSWS 97A
Corolla,Side Member LH,Spot Welding System,PSWS 98
Corolla,Side Member LH,Spot Welding System,PSWS 99
Corolla,Side Member LH,Spot Welding System,PSWS 100
Corolla,Side Member LH,Spot Welding System,PSWS 101
Corolla,Side Member LH,Other,Other
Corolla,Under body,Auto Stud,UDB-1
Corolla,Under body,CO2,CO2 # 1
Corolla,Under body,CO2,CO2 # 2
Corolla,Under body,CO2,CO2 # 3
Corolla,Under body,Hoist,C 1
Corolla,Under body,Hoist,C 2
Corolla,Under body,Hoist,C 3
Corolla,Under body,Hoist,C 4
Corolla,Under body,Hoist,C 5
Corolla,Under body,Hoist,C 6
Corolla,Under body,Hoist,C 7
Corolla,Under body,Hoist,C 8
Corolla,Under body,Hoist,C 9
Corolla,Under body,Hoist,C 10
Corolla,Under body,Manual Jig,URB
Corolla,Under body,Manual Jig,URC
Corolla,Under body,Manual Jig,UUL
Corolla,Under body,Manual Jig,UUJ
Corolla,Under body,Manual Jig,UUE
Corolla,Under body,Manual Jig,UUA-1
Corolla,Under body,Manual Jig,URE
Corolla,Under body,Manual Jig,UFC-1
Corolla,Under body,Manual Jig,UBA-1
Corolla,Under body,Number Punching Machine,UFD
Corolla,Under body,Piercing Machine,UMD RH
Corolla,Under body,Piercing Machine,UMD LH
Corolla,Under body,Piercing Machine,UMD RH
Corolla,Under body,Piercing Machine,UUK
Corolla,Under body,Piercing Machine,UUK-1
Corolla,Under body,PLC Jig,UEA
Corolla,Under body,PLC Jig,UBA
Corolla,Under body,Pneumatic Jig,UMF RH
Corolla,Under body,Pneumatic Jig,UME RH
Corolla,Under body,Pneumatic Jig,UMC RH
Corolla,Under body,Pneumatic Jig,UAC RH
Corolla,Under body,Pneumatic Jig,UAC RH
Corolla,Under body,Pneumatic Jig,UMA RH
Corolla,Under body,Pneumatic Jig,URA
Corolla,Under body,Pneumatic Jig,URD RH/ LH
Corolla,Under body,Pneumatic Jig,UMF LH
Corolla,Under body,Pneumatic Jig,UME LH
Corolla,Under body,Pneumatic Jig,UMC LH
Corolla,Under body,Pneumatic Jig,UMA LH
Corolla,Under body,Pneumatic Jig,UAC LH
Corolla,Under body,Pneumatic Jig,UAB LH
Corolla,Under body,Pneumatic Jig,UAD
Corolla,Under body,Pneumatic Jig,UDB
Corolla,Under body,Pneumatic Jig,STA R/L
Corolla,Under body,Pneumatic Jig,STA LH
Corolla,Under body,Pneumatic Jig,SFA RH
Corolla,Under body,Pneumatic Jig,SOA RH
Corolla,Under body,Pneumatic Jig,SOA LH
Corolla,Under body,Pneumatic Jig,UUH
Corolla,Under body,Pneumatic Jig,UUI
Corolla,Under body,Pneumatic Jig,UUD LH
Corolla,Under body,Pneumatic Jig,UUC LH
Corolla,Under body,Pneumatic Jig,UUD RH
Corolla,Under body,Pneumatic Jig,UUC RH
Corolla,Under body,Pneumatic Jig,UUB
Corolla,Under body,Pneumatic Jig,UUG
Corolla,Under body,Pneumatic Jig,UUA
Corolla,Under body,Pneumatic Jig,UAA RH
Corolla,Under body,Pneumatic Jig,UAA LH
Corolla,Under body,Pneumatic Jig,UEA-1
Corolla,Under body,Pneumatic Jig,UFJ R/L
Corolla,Under body,Pneumatic Jig,UFB
Corolla,Under body,Pneumatic Jig,UFA
Corolla,Under body,Pneumatic Jig,UFA-1
Corolla,Under body,Spot Welding System,PSWS 01
Corolla,Under body,Spot Welding System,PSWS 02
Corolla,Under body,Spot Welding System,PSWS 03
Corolla,Under body,Spot Welding System,PSWS 04
Corolla,Under body,Spot Welding System,PSWS 05
Corolla,Under body,Spot Welding System,PSWS 06
Corolla,Under body,Spot Welding System,PSWS 07
Corolla,Under body,Spot Welding System,PSWS 08
Corolla,Under body,Spot Welding System,PSWS 09
Corolla,Under body,Spot Welding System,PSWS 10
Corolla,Under body,Spot Welding System,PSWS 11
Corolla,Under body,Spot Welding System,PSWS 12
Corolla,Under body,Spot Welding System,PSWS 13
Corolla,Under body,Spot Welding System,PSWS 14
Corolla,Under body,Spot Welding System,PSWS 15
Corolla,Under body,Spot Welding System,PSWS 16
Corolla,Under body,Spot Welding System,PSWS 17
Corolla,Under body,Spot Welding System,PSWS 18
Corolla,Under body,Spot Welding System,PSWS 19
Corolla,Under body,Spot Welding System,PSWS 20
Corolla,Under body,Spot Welding System,PSWS 21
Corolla,Under body,Spot Welding System,PSWS 22
Corolla,Under body,Spot Welding System,PSWS 23
Corolla,Under body,Spot Welding System,PSWS 24
Corolla,Under body,Spot Welding System,PSWS 25
Corolla,Under body,Spot Welding System,PSWS 26
Corolla,Under body,Spot Welding System,PSWS 27
Corolla,Under body,Spot Welding System,PSWS 28
Corolla,Under body,Spot Welding System,PSWS 29
Corolla,Under body,Spot Welding System,PSWS 30
Corolla,Under body,Spot Welding System,PSWS 31
Corolla,Under body,Spot Welding System,PSWS 32
Corolla,Under body,Spot Welding System,PSWS 33
Corolla,Under body,Spot Welding System,PSWS 34
Corolla,Under body,Spot Welding System,PSWS 35
Corolla,Under body,Spot Welding System,PSWS 36
Corolla,Under body,Spot Welding System,PSWS 37
Corolla,Under body,Spot Welding System,PSWS 38
Corolla,Under body,Spot Welding System,PSWS 39
